cell_id,cy,cx,bldg_n,glass_frac,road_segs,shore_dist,mort_n,risk_p,risk,baseline_risk,intervention_risk,expected_reduction,best_intervention,intervention_rankings
43,41.86750000000001,-87.67550000000001,10.0,0.45454545454545453,14.0,0.15250000000001762,0.0,0.07695629884511104,Low,0.07695629884511104,0.07175908533435234,6.753460845640549,Wildlife crossing corridor,Wildlife crossing corridor (6.8%); Reduced night lighting (4.1%); Vegetation buffer (-2.0%); Anti-collision window film (-49.2%)
44,41.8705,-87.67550000000001,23.0,0.08333333333333333,18.0,0.15250000000001762,0.0,0.12657254974000648,Low,0.12657254974000648,0.11810262322139733,6.691756258372986,Reduced night lighting,Reduced night lighting (6.7%); Wildlife crossing corridor (1.6%); Anti-collision window film (0.0%); Vegetation buffer (0.0%)
45,41.8735,-87.67550000000001,14.0,0.3333333333333333,25.0,0.15250000000001762,0.0,0.10415203457045959,Low,0.10415203457045959,0.09045037914832392,13.155437124818143,Reduced night lighting,Reduced night lighting (13.2%); Vegetation buffer (-4.8%); Wildlife crossing corridor (-9.5%); Anti-collision window film (-92.4%)
46,41.87650000000001,-87.67550000000001,10.0,0.18181818181818182,28.0,0.15250000000001762,0.0,0.09342609000890816,Low,0.09342609000890816,0.07175642935357908,23.194442423163462,Wildlife crossing corridor,Wildlife crossing corridor (23.2%); Reduced night lighting (-72.7%); Anti-collision window film (-74.4%); Vegetation buffer (-81.8%)
47,41.8795,-87.67550000000001,10.0,0.2727272727272727,18.0,0.15250000000001762,0.0,0.05674755187730624,Low,0.05674755187730624,0.060026674186376125,-5.778438365340704,Reduced night lighting,Reduced night lighting (-5.8%); Vegetation buffer (-10.3%); Wildlife crossing corridor (-15.6%); Anti-collision window film (-78.7%)
48,41.88250000000001,-87.67550000000001,13.0,0.42857142857142855,22.0,0.15250000000001762,0.0,0.06947056180375444,Low,0.06947056180375444,0.05495180465842266,20.899150328372812,Reduced night lighting,Reduced night lighting (20.9%); Vegetation buffer (20.9%); Wildlife crossing corridor (5.8%); Anti-collision window film (-136.8%)
49,41.8855,-87.67550000000001,48.0,0.7959183673469388,42.0,0.15250000000001762,0.0,0.16102507749663908,Low,0.16102507749663908,0.10354308906394227,35.697538126567004,Wildlife crossing corridor,Wildlife crossing corridor (35.7%); Reduced night lighting (14.5%); Anti-collision window film (8.6%); Vegetation buffer (5.1%)
50,41.8885,-87.67550000000001,37.0,0.8947368421052632,42.0,0.15250000000001762,0.0,0.08037302888882707,Low,0.08037302888882707,0.06289998288488255,21.73993719723247,Wildlife crossing corridor,Wildlife crossing corridor (21.7%); Anti-collision window film (9.0%); Vegetation buffer (1.3%); Reduced night lighting (-0.9%)
51,41.8915,-87.67550000000001,243.0,0.7827868852459017,28.0,0.15250000000001762,0.0,0.000992395593786404,Low,0.000992395593786404,0.0034536264649287596,-248.00904866493116,Anti-collision window film,Anti-collision window film (-248.0%); Wildlife crossing corridor (-399.3%); Vegetation buffer (-533.6%); Reduced night lighting (-1007.7%)
52,41.89450000000001,-87.67550000000001,308.0,0.6407766990291263,26.0,0.15250000000001762,0.0,0.004425383529813927,Low,0.004425383529813927,0.005797168409003327,-30.998101519284123,Vegetation buffer,Vegetation buffer (-31.0%); Reduced night lighting (-95.0%); Wildlife crossing corridor (-95.0%); Anti-collision window film (-144.0%)
